,test_pid,test_label,test_pred,correct
0,1a,jeffrey,no_answer,False
1,1b,lawrence,no_answer,False
2,5a,patricia,no_answer,False
3,5b,lindsey,no_answer,False
4,6a,eric,no_answer,False
5,6b,robert,eric,False
6,9a,emily,emily,True
7,9b,kayla,kayla,True
8,15a,joseph,joseph,True
9,15b,kevin,kevin,True
10,17a,lawrence,no_answer,False
11,17b,craig,craig,True
12,26a,elena,no_answer,False
13,26b,samantha,no_answer,False
14,28a,laura,no_answer,False
15,28b,megan,no_answer,False
16,29a,nelson,nelson,True
17,29b,samuel,samuel,True
18,30a,maria,no_answer,False
19,30b,christine,no_answer,False
20,31a,angela,no_answer,False
21,31b,erin,no_answer,False
22,34a,kayla,kayla,True
23,34b,jennifer,jennifer,True
24,35a,craig,craig,True
25,35b,dennis,dennis,True
26,36a,justin,no_answer,False
27,36b,benjamin,no_answer,False
28,40a,floor,no_answer,False
29,40b,toilet,no_answer,False
30,42a,kayla,no_answer,False
31,42b,angela,no_answer,False
32,43a,brian,brian,True
33,43b,neil,neil,True
34,45a,natalie,no_answer,False
35,45b,christine,no_answer,False
36,46a,christine,christine,True
37,46b,jennifer,jennifer,True
38,50a,booze,no_answer,False
39,50b,yoga,no_answer,False
